user,session,condition,duration_mins,num_keystrokes,num_prompts,quality_check_tags
71409769,2020-08-13-1597363426-keystrokes-71409769,on_keyboard,17.14421493212382,4748,158,[]
71409769,2020-08-14-1597444340-keystrokes-71409769,on_keyboard,17.15903004805247,4577,158,[]
09456349,2020-08-13-1597354281-keystrokes,on_keyboard,10.399900515874227,4362,157,[]
09456349,2020-08-13-1597355141-keystrokes,on_keyboard,9.577550009886425,4380,158,[]
71409769,2020-08-15-1597560433-keystrokes-71409769,on_keyboard,15.559813463687897,4604,158,[]
71409769,2020-08-13-1597369024-keystrokes-71409769,on_keyboard,15.180394653479258,4620,157,[]
71409769,2020-08-13-1597357485-keystrokes-71409769,on_keyboard,16.809567034244537,4572,157,[]
09456349,2020-08-17-1597699312-keystrokes-09456349,on_keyboard,9.829150489966075,4318,157,[]
09456349,2020-08-17-1597700134-keystrokes-09456349,on_keyboard,10.895825672149659,4470,158,[]
09456349,2020-08-17-1597701568-keystrokes-09456349,on_keyboard,9.517723313967387,4420,158,[]
71409769,2020-08-17-1597712595-keystrokes-71409769,on_keyboard,19.785628084341685,4685,158,[]
71409769,2020-08-17-1597730688-keystrokes-71409769,on_keyboard,18.818253231048583,4711,158,[]
11944098,2020-08-18-1597767815-keystrokes-11944098,on_keyboard,17.29265023867289,4375,158,[]
11944098,2020-08-18-1597770803-keystrokes-11944098,on_keyboard,16.60685350894928,4301,157,[]
71409769,2020-08-18-1597772298-keystrokes-71409769,on_keyboard,18.61748433113098,4880,158,[]
11944098,2020-08-18-1597772221-keystrokes-11944098,on_keyboard,17.201964445908864,4362,158,[]
11944098,2020-08-18-1597773750-keystrokes-11944098,on_keyboard,18.494236715634663,4440,158,[]
11944098,2020-08-18-1597775258-keystrokes-11944098,on_keyboard,16.470010888576507,4352,157,[]
09456349,2020-08-18-1597786596-keystrokes-09456349,on_keyboard,10.105366762479147,4497,157,[]
66727638,2020-08-18-1597783506-keystrokes-,on_keyboard,13.855775872866312,4787,158,[]
09456349,2020-08-18-1597785842-keystrokes-09456349,on_keyboard,9.857897015412648,4432,157,[]
11944098,2020-08-18-1597786375-keystrokes-11944098,on_keyboard,16.769033535321554,4323,158,[]
09456349,2020-08-18-1597787379-keystrokes-09456349,on_keyboard,10.191629107793172,4548,157,[]
11944098,2020-08-18-1597788565-keystrokes-11944098,on_keyboard,15.646030839284261,4311,157,[]
11944098,2020-08-18-1597789985-keystrokes-11944098,on_keyboard,19.236873638629913,4421,158,[]
